"","reference","paperID","common_name","species_cleaned","dispersal_type"
"332","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"333","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"334","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"335","Molina-Morales et al. 2012","p115","common magpie","Pica pica","breeding"
"336","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"337","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"338","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"339","Avril et al. 2012","p116","european hare","Lepus europaeus","natal"
"340","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"341","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"342","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"343","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"344","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"345","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"346","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"347","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
"348","Waser et al. 2013","p117","banner-tailed kangaroo rat","Dipodomys spectabilis","natal"
